iter	Passed	Remaining
1039	67925	62700
1040	67994	62638
1041	68060	62573
1042	68130	62512
1043	68193	62445
1044	68256	62378
1045	68319	62310
1046	68384	62245
1047	68448	62178
1048	68514	62114
1049	68580	62049
1050	68641	61979
1051	68705	61913
1052	68771	61848
1053	68836	61782
1054	68915	61729
1055	68988	61671
1056	69051	61604
1057	69116	61538
1058	69177	61469
1059	69242	61403
1060	69307	61337
1061	69370	61270
1062	69437	61206
1063	69503	61142
1064	69568	61076
1065	69630	61007
1066	69692	60940
1067	69756	60873
1068	69821	60807
1069	69886	60742
1070	69962	60686
1071	70026	60619
1072	70089	60552
1073	70153	60486
1074	70218	60420
1075	70282	60353
1076	70344	60286
1077	70411	60221
1078	70476	60156
1079	70540	60090
1080	70602	60021
1081	70671	59959
1082	70733	59891
1083	70798	59826
1084	70865	59761
1085	70938	59703
1086	71003	59637
1087	71066	59570
1088	71131	59504
1089	71196	59439
1090	71260	59372
1091	71321	59304
1092	71387	59239
1093	71454	59175
1094	71518	59108
1095	71581	59041
1096	71646	58976
1097	71711	58910
1098	71778	58846
1099	71845	58782
1100	71918	58723
1101	71987	58660
1102	72051	58594
1103	72117	58530
1104	72181	58463
1105	72246	58398
1106	72309	58331
1107	72372	58263
1108	72435	58196
1109	72499	58130
1110	72564	58064
1111	72629	57999
1112	72694	57933
1113	72759	57867
1114	72829	57806
1115	72897	57743
1116	72962	57677
1117	73026	57611
1118	73091	57545
1119	73153	57477
1120	73218	57412
1121	73282	57345
1122	73345	57278
1123	73408	57211
1124	73474	57146
1125	73537	57079
1126	73602	57013
1127	73664	56946
1128	73729	56880
1129	73793	56814
1130	73865	56753
1131	73931	56689
1132	73995	56623
1133	74059	56557
1134	74125	56492
1135	74188	56424
1136	74250	56357
1137	74314	56291
1138	74376	56223
1139	74444	56159
1140	74505	56091
1141	74568	56024
1142	74632	55958
1143	74697	55892
1144	74762	55826
1145	74837	55768
1146	74911	55710
1147	74984	55650
