Guests;Price avg;Ranking position avg;Number of views;Price difference;Hotel name;Location;Distance;Type;Quality;Rating;Special;Review;Description;Bedrooms;Living Rooms;Bathrooms;Kitchens;Surface Area (m2);Total Beds;Individual Beds;Double Beds;Double Large Beds;Double Extralarge Beds;Sofa Beds;Bunk Beds
8;1948.0;265.0;260;1333.0;Alhambra Palace Hotel;Centro de Granada, Granada;700;hotel;5;8.7;preferente;655;1×;0;0;0;0;0;1;0;0;0;1;0;0
8;2494.0;187.0;21;1674.0;Alhambra Palace Hotel;Centro de Granada, Granada;700;hotel;5;8.7;preferente;655;Suite Familiar de un dormitorio;1;1;1;0;46;4;4;0;0;0;0;0
6;2168.0;260.0;6;1610.0;Alhambra Palace Hotel;Centro de Granada, Granada;700;hotel;5;8.7;preferente;672;1×;2;1;2;0;70;1;0;1;0;0;0;0
4;189.0;350.0;11;27.0;Alhambra View PENTHOUSE, Parking Opcional;Centro de Granada, Granada;300;apartamento;4;8.6;;64;Apartamento de 1 dormitorio;1;1;1;1;40;2;0;0;1;0;1;0
2;125.0;203.0;56;-54.0;Alhambra en el Sacromonte;Sacromonte, Granada;1200;;0;7.8;;226;Habitación Doble;0;0;0;0;0;1;0;1;0;0;0;0
4;425.0;305.0;5;-21.0;Alhambra suite Granada;Albaicín, Granada;700;apartamento;3;7.7;;3;Apartamento de 1 dormitorio;1;0;0;0;0;2;0;1;0;0;1;0
8;464.0;322.0;10;-36.0;Aljibe del Albayzin;Albaicín, Granada;1000;apartamento;3;8.5;;367;1×;1;1;1;1;20;1;0;1;0;0;0;0
8;342.0;325.0;28;-159.0;Aljibe del Albayzin;Albaicín, Granada;1000;apartamento;3;8.5;;367;1×;1;1;1;1;26;2;0;0;0;1;1;0
6;306.0;335.0;1;58.0;Aljibe del Albayzin;Albaicín, Granada;1000;apartamento;3;8.5;;367;1×;1;1;1;1;33;3;2;0;0;0;1;0
4;366.0;244.0;4;-92.0;Aloja T Wonder Gran Vía Granada;Centro de Granada, Granada;700;apartamento;3;6.0;;2;Apartamento de 1 dormitorio;1;0;0;0;0;2;0;1;0;0;1;0
4;243.0;290.0;9;39.0;Alojamiento Camino de Ronda con Parking;Barrio de Ronda, Granada;900;apartamento;4;8.9;;90;Apartamento de 3 dormitorios;3;0;2;1;90;4;3;1;0;0;0;0
6;351.0;130.0;95;-136.0;Alojamiento completo en PTS;Granada;2800;apartamento;4;9.0;;2;Apartamento de 3 dormitorios;3;1;2;1;110;4;1;1;1;0;1;0
8;413.0;254.0;145;-240.0;Alojamientos Rurales Las Eras;Granada;47300;apartamento;3;8.7;;52;1×;2;1;1;1;50;3;2;1;0;0;0;0
8;312.0;283.0;136;-86.0;Alojamientos Rurales Las Eras;Granada;47300;apartamento;3;8.7;;52;1×;2;1;1;1;70;3;2;1;0;0;0;0
8;1132.0;179.0;265;583.0;Alto house edificio completo;Albaicín, Granada;250;apartamento;3;8.6;;5;Casa de 4 dormitorios;4;0;2;1;120;9;4;3;0;0;0;2
8;494.0;233.0;138;-206.0;Amaka House;Albaicín, Granada;500;;0;8.7;;242;2×;0;0;0;0;0;4;2;0;0;0;0;2
8;532.0;282.0;13;-148.0;Amaka House;Albaicín, Granada;500;;0;8.7;;240;1×;0;0;0;0;18;4;0;0;0;0;0;1
8;544.0;276.0;6;-201.0;Amazing House Albaycin for 5 pax;Albaicín, Granada;700;apartamento;3;6.5;;15;1×;2;0;1;0;80;2;0;0;2;0;0;0
6;477.0;239.0;146;15.0;Amplio apartamento exterior;Beiro, Granada;2400;apartamento;3;8.0;;108;Apartamento de 2 dormitorios;2;1;1;1;110;2;0;2;0;0;0;0
4;356.0;280.0;27;50.0;Amplio piso en el Palacio de Congresos by beBalmy;Zaidín, Granada;1600;apartamento;3;9.3;;4;Apartamento de 2 dormitorios;2;0;1;1;85;4;3;1;0;0;0;0
6;417.0;353.0;11;64.0;Amplio y Céntrico, Exclusividad y tranquilidad en el corazón de la ciudad, Calefacción central, jardines, supermercados, cafeterías y todos los servicios;Genil, Granada;1000;apartamento;4;8.7;;10;Apartamento;3;1;1;1;122;3;0;3;0;0;0;0
6;538.0;252.0;34;173.0;Amplio y moderno apartamento en el centro Granada;Beiro, Granada;1500;apartamento;4;9.4;destacado;50;Apartamento de 3 dormitorios;3;0;2;1;105;4;2;1;0;1;0;0
6;554.0;267.0;95;178.0;Amplio y moderno apartamento en el centro de Graná;Beiro, Granada;1500;apartamento;4;9.4;destacado;50;Apartamento de 3 dormitorios;3;0;2;1;105;4;2;1;0;1;0;0
8;307.0;256.0;57;-117.0;Ana Belén;Centro de Granada, Granada;600;apartamento;3;8.6;;429;4×;0;0;0;0;0;2;8;0;0;0;0;0
8;511.0;271.0;195;-218.0;Ana María;Barrio de Ronda, Granada;1000;hotel;3;7.4;;432;1×;0;0;0;0;0;2;2;0;0;0;0;0
8;536.0;180.0;253;102.0;Anacapri;Centro de Granada, Granada;100;hotel;3;8.7;preferente;654;2×;0;0;0;0;0;8;8;0;0;0;0;0
8;978.0;262.0;3;400.0;Anacapri;Centro de Granada, Granada;100;hotel;3;8.7;preferente;684;1×;1;1;1;0;23;1;0;1;0;0;0;0
8;437.0;218.0;163;-267.0;Antares;Centro de Granada, Granada;200;hotel;2;8.0;;86;2×;0;0;0;0;0;8;8;0;0;0;0;0
6;522.0;160.0;32;72.0;Ap Escudo A21;Centro de Granada, Granada;150;;0;9.0;;3;Apartamento;0;0;2;1;110;0;0;0;0;0;0;0
